,SID,Session,Block,Trial,Sequence,Stimt-2,Stimt-1,Stimt,RT,Response,Delay,Result,Trial_Number,Correct,log_RT,inverse_RT,post_error
1,1033,Baseline,1,1,High Prob,2,3,1,0.3573396,1,0.35,Correct,1,1,-1.029068689,2.798458385,0
2,1033,Baseline,1,2,Low Prob,3,1,4,0.4620412,4,0.2,Correct,2,1,-0.772101214,2.164309157,0
3,1033,Baseline,1,3,High Prob,1,4,3,0.3786989,3,0.4,Correct,3,1,-0.971013849,2.640620292,0
4,1033,Baseline,1,4,Low Prob,4,3,1,0.2267684,1,0.6,Correct,4,1,-1.483826047,4.40978549,0
5,1033,Baseline,1,5,High Prob,3,1,2,0.3248532,2,0.5,Correct,5,1,-1.124381891,3.078313527,0
6,1033,Baseline,1,6,High Prob,1,2,1,0.2788667,1,0.4,Correct,6,1,-1.277021389,3.585942674,0
7,1033,Baseline,1,7,High Prob,2,1,4,0.2828955,4,0.4,Correct,7,1,-1.262677707,3.534874185,0
8,1033,Baseline,1,8,High Prob,1,4,3,0.2363023,3,0.45,Correct,8,1,-1.442643361,4.2318674,0
9,1033,Baseline,1,9,Low Prob,4,3,1,0.4256397,1,0.2,Correct,9,1,-0.854162065,2.349404907,0
10,1033,Baseline,1,10,Low Prob,3,1,4,0.2937008,4,0.45,Correct,10,1,-1.225193717,3.404825591,0
11,1033,Baseline,1,11,Low Prob,1,4,2,0.4791527,2,0.25,Correct,11,1,-0.735735943,2.087017354,0
12,1033,Baseline,1,12,High Prob,4,2,3,0.4251698,3,0.45,Correct,12,1,-0.85526666,2.352001483,0
13,1033,Baseline,1,13,Low Prob,2,3,4,0.2872359,4,0.6,Correct,13,1,-1.24745145,3.481458968,0
14,1033,Baseline,1,14,High Prob,3,4,2,0.2686174,2,0.55,Correct,14,1,-1.314467217,3.722767028,0
15,1033,Baseline,1,15,High Prob,4,2,3,0.4026556,3,0.35,Correct,15,1,-0.909673673,2.483511964,0
16,1033,Baseline,1,16,High Prob,2,3,1,0.4993723,1,0.35,Correct,16,1,-0.694403369,2.002513956,0
17,1033,Baseline,1,17,High Prob,3,1,2,0.4000604,2,0.35,Correct,17,1,-0.916139743,2.499622557,0
18,1033,Baseline,1,18,High Prob,1,2,1,0.422778,1,0.2,Correct,18,1,-0.86090806,2.365307561,0
19,1033,Baseline,1,19,High Prob,2,1,4,0.2748451,4,0.45,Correct,19,1,-1.291547613,3.638413055,0
